2023-11-20 19:45:48.313 [info] Эксперимент «pythonPromptNewFormatterExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonPromptNewToolsExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonRecommendTensorboardExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonREPLSmartSendcf» активен
2023-11-20 19:45:48.314 [info] Эксперимент «pythonTestAdapter» активен
2023-11-20 19:45:48.367 [info] Default formatter is set to null for workspace /workspaces/144946272
2023-11-20 19:45:48.804 [info] Test server listening.
2023-11-20 19:45:48.804 [info] Путь к интерпретатору Python: /usr/local/bin/python
2023-11-20 19:45:53.476 [info] Запуск языкового сервера Pylance.
2023-11-20 19:45:53.860 [info] Discover tests for workspace name: undefined - uri: /User/settings.json
2023-11-20 19:48:54.193 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:48:56.232 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:18.602 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:21.125 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:30.738 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:32.504 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:33.936 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:36.617 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:41.084 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:43.139 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:44.886 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:49.198 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:54.394 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:49:57.313 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:01.268 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:09.779 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:12.283 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:13.827 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:18.026 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:20.666 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:51.150 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:55.527 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:57.639 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:50:59.866 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:51:04.455 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:51:10.843 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:51:23.635 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:00.188 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:03.876 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:07.154 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:09.487 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:10.966 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:13.788 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:17.018 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:19.911 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:52:23.393 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:54:55.031 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:54:58.003 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:01.299 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:07.836 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:09.302 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
